"Año","Mes","Dia","Fecha","Tｰ Media","TｰMaxima","TｰMinima","Lluvia","%Humedad"
"2013","Feb","21","2/21/2013","11.49","17.18","8.06","6.6","79.107"
"2013","Feb","22","2/22/2013","12.021","17.86","7.89","2.12","76.853"
"2013","Feb","23","2/23/2013","12.285","18.3","8.1","2.44","77.483"
"2013","Feb","24","2/24/2013","12.145","18.38","8.33","6.04","77.918"
"2013","Feb","25","2/25/2013","12.073","18.54","7.73","6.08","75.813"
"2013","Feb","26","2/26/2013","11.671","17.31","7.46","2.9","77.243"
"2013","Feb","27","2/27/2013","11.656","17.36","7.95","6.66","79.137"
"2013","Feb","28","2/28/2013","12.347","18.14","8.13","2.58","76.996"
"2013","Mar","1","3/1/2013","12.387","19.06","7.53","6.4","75.849"
"2013","Mar","2","3/2/2013","12.497","19.2","7.82","2.66","74.112"
"2013","Mar","3","3/3/2013","11.945","18.68","6.73","3.22","75.083"
"2013","Mar","4","3/4/2013","11.879","18.14","7.42","7.04","76.929"
"2013","Mar","5","3/5/2013","11.528","17.24","7.22","8.38","79.221"
"2013","Mar","6","3/6/2013","12.066","18.45","7.54","4.18","77.049"
"2013","Mar","7","3/7/2013","12.339","18.39","8.05","2.36","76.27"
"2013","Mar","8","3/8/2013","11.986","18.28","7.69","5.88","76.918"
"2013","Mar","9","3/9/2013","12.011","18.05","7.53","8.84","77.028"
"2013","Mar","10","3/10/2013","11.996","18.3","7.98","7.22","77.107"
"2013","Mar","11","3/11/2013","12.08","18.79","7.26","3.22","75.027"
"2013","Mar","12","3/12/2013","11.736","16.9","8.04","5.28","78.075"
"2013","Mar","13","3/13/2013","11.507","16.989","7.856","5.111","79.158"
"2013","Mar","14","3/14/2013","13.3","16.7","10.6","0","75.79"
"2013","Mar","15","3/15/2013","9.09","16.7","7.7","6","89.24"
"2013","Mar","16","3/16/2013","10.99","15.4","7.4","4.4","84.62"
"2013","Mar","17","3/17/2013","12.09","17.6","8.6","4.8","83.83"
"2013","Mar","18","3/18/2013","11.95","17.3","8.1","8","81.08"
"2013","Mar","19","3/19/2013","12.19","19.2","7","0.4","77.58"
"2013","Mar","20","3/20/2013","13.72","21.1","9.3","0","71.71"
"2013","Mar","21","3/21/2013","12.73","19.1","7.7","0","75.96"
"2013","Mar","22","3/22/2013","12.58","16.8","9.2","0","76.46"
"2013","Mar","23","3/23/2013","13.43","21.1","8.7","0","69.25"
"2013","Mar","24","3/24/2013","13","19.7","7.1","0","64.58"
"2013","Mar","25","3/25/2013","11.77","17.9","5.3","0","67.83"
"2013","Mar","26","3/26/2013","10.09","14.7","7.1","3.6","86.33"
"2013","Mar","27","3/27/2013","9.77","13.9","7.7","6.2","88.21"
"2013","Mar","28","3/28/2013","10.17","14.1","7.3","2","85.54"
"2013","Mar","29","3/29/2013","10.71","15.7","7.7","1","82.25"
"2013","Mar","30","3/30/2013","11.57","18.1","6.9","0","78.62"
"2013","Mar","31","3/31/2013","12.22","18","7.7","0.2","76.33"
"2013","Abr","1","4/1/2013","12.7","18.9","7.7","0","73.96"
"2013","Abr","2","4/2/2013","12.47","18","8.8","0","77.42"
"2013","Abr","3","4/3/2013","12.57","18.6","7.4","0","75.21"
"2013","Abr","4","4/4/2013","9.57","12.8","7.8","13.8","86.88"
"2013","Abr","5","4/5/2013","10.73","16.6","6.8","0.2","79.33"
"2013","Abr","6","4/6/2013","10.83","16.9","4.5","0","78.21"
"2013","Abr","7","4/7/2013","10.4","15.3","6.2","1.2","82.88"
"2013","Abr","8","4/8/2013","12.8","19.2","7.6","0","70.5"
"2013","Abr","9","4/9/2013","12.78","19.1","8.8","0","67.83"
"2013","Abr","10","4/10/2013","12.4","19.9","6.4","0","65.38"
"2013","Abr","11","4/11/2013","11.9","19.3","6.2","0","66.46"
"2013","Abr","12","4/12/2013","12.04","19.7","5.7","0","71.38"
"2013","Abr","13","4/13/2013","11.15","18.1","6.2","0","74.42"
"2013","Abr","14","4/14/2013","11.41","19.1","5.7","0.2","71.42"
"2013","Abr","15","4/15/2013","11.62","18.8","6.3","0","69.38"
"2013","Abr","16","4/16/2013","11.39","17","7.8","1.6","75.25"
"2013","Abr","17","4/17/2013","9.85","17","6.2","0.8","78.75"
"2013","Abr","18","4/18/2013","10.4","18.2","4.2","0","71.33"
"2013","Abr","19","4/19/2013","9.76","18.6","3.4","0","67.67"
"2013","Abr","20","4/20/2013","10.74","19.4","2.6","0","61.83"
"2013","Abr","21","4/21/2013","10.6","19.1","3.7","0","66.75"
"2013","Abr","22","4/22/2013","10.65","19.9","3.4","0","65.79"
"2013","Abr","23","4/23/2013","10.9","18.1","4.8","0","70.08"
"2013","Abr","24","4/24/2013","10.71","19.4","4.3","0","70.29"
"2013","Abr","25","4/25/2013","11.08","20.5","3.2","0","67.29"
"2013","Abr","26","4/26/2013","11.12","20.8","3.4","0","66"
"2013","Abr","27","4/27/2013","11.58","20.1","4.1","0","63.62"
"2013","Abr","28","4/28/2013","10.07","17.8","4.8","0","75.71"
"2013","Abr","29","4/29/2013","10.72","18.9","4.7","0","70.83"
"2013","Abr","30","4/30/2013","11.34","19.5","5.7","0","64.58"
"2013","May","1","5/1/2013","10.89","16.8","4.3","0","70.88"
"2013","May","2","5/2/2013","12.38","18.4","7.7","0.4","65.38"
"2013","May","3","5/3/2013","11.34","18.3","5.3","0","67.33"
"2013","May","4","5/4/2013","11.35","19.3","4.9","0","68.96"
"2013","May","5","5/5/2013","11.15","17.7","5.9","0","72.17"
"2013","May","6","5/6/2013","11.55","19.4","4.7","0","68.67"
"2013","May","7","5/7/2013","11.88","19.2","6.5","0","69.42"
"2013","May","8","5/8/2013","11.25","20.1","5.3","0","68.62"
"2013","May","9","5/9/2013","11.28","19.8","3","0","64.96"
"2013","May","10","5/10/2013","11.67","20.6","3.3","0","63.29"
"2013","May","11","5/11/2013","11.4","19.6","3.8","0","64.5"
"2013","May","12","5/12/2013","10.85","17.7","6.4","0","73.46"
"2013","May","13","5/13/2013","10.17","17.3","4.8","0","73.96"
"2013","May","14","5/14/2013","9.85","17.1","4.2","0","73.21"
"2013","May","15","5/15/2013","10.19","15.8","6.6","3.2","76.54"
"2013","May","16","5/16/2013","10.57","16.3","6.1","0","75.04"
"2013","May","17","5/17/2013","9.77","14.3","6.6","1","83.08"
"2013","May","18","5/18/2013","9.55","13.9","6.7","0.2","82.58"
"2013","May","19","5/19/2013","10.13","17.7","5.4","0","76"
"2013","May","20","5/20/2013","9.57","16.4","5.5","0","75.42"
"2013","May","21","5/21/2013","10.28","19.2","2.4","0","65.58"
"2013","May","22","5/22/2013","10.55","19.2","4.9","0","69.79"
"2013","May","23","5/23/2013","10.6","18.3","4.3","0","70.62"
"2013","May","24","5/24/2013","10.75","17.9","5.1","1","72.71"
"2013","May","25","5/25/2013","11.18","18.8","5.8","0","72"
"2013","May","26","5/26/2013","11.19","19.2","4.1","0","57.62"
"2013","May","27","5/27/2013","9.7","17.9","2.2","0","55.29"
"2013","May","28","5/28/2013","9.02","17.3","1.9","0","59.04"
"2013","May","29","5/29/2013","9.54","17.3","1.6","0","54.08"
"2013","May","30","5/30/2013","9.08","17.3","1.2","0","57.25"
"2013","May","31","5/31/2013","9.48","16.9","1.6","0","57.96"
"2013","Jun","1","6/1/2013","9.42","16.1","2.5","0","59.42"
"2013","Jun","2","6/2/2013","8.65","17.2","1.7","0","70.25"
"2013","Jun","3","6/3/2013","8.52","15.7","1.1","1.4","75.62"
"2013","Jun","4","6/4/2013","9.98","17","4.6","0","70.96"
"2013","Jun","5","6/5/2013","8.86","14.5","5.4","1.6","76.46"
"2013","Jun","6","6/6/2013","6.86","14.8","2.3","1","82.96"
"2013","Jun","7","6/7/2013","8.25","14.7","3.8","1.2","78.58"
"2013","Jun","8","6/8/2013","7.64","13.1","2.7","0.2","77.25"
"2013","Jun","9","6/9/2013","8.18","15.3","2.7","0","75.75"
"2013","Jun","10","6/10/2013","8.14","16.4","1.5","0","74.83"
"2013","Jun","11","6/11/2013","7.68","15.1","1.7","0","78.04"
"2013","Jun","12","6/12/2013","8.53","13.8","3.7","0","78.71"
"2013","Jun","13","6/13/2013","9.24","15.7","5.7","1.4","78.46"
"2013","Jun","14","6/14/2013","8.45","17.5","2.4","0","72.79"
"2013","Jun","15","6/15/2013","8.27","17","0.5","0","68.92"
"2013","Jun","16","6/16/2013","9.07","17.4","2.2","0","68.04"
"2013","Jun","17","6/17/2013","8.04","15.7","1.5","0","72"
"2013","Jun","18","6/18/2013","8.42","15.7","1.9","0","71.58"
"2013","Jun","19","6/19/2013","8.18","13.2","5.2","0.4","78.42"
"2013","Jun","20","6/20/2013","6.53","12.4","2","0.8","82.58"
"2013","Jun","21","6/21/2013","7.64","14.8","1.2","0","74.5"
"2013","Jun","22","6/22/2013","7.19","13.8","1.3","1.2","78.46"
"2013","Jun","23","6/23/2013","7.65","15.4","1.7","0","76.04"
"2013","Jun","24","6/24/2013","8.73","15.7","1.9","0","70.75"
"2013","Jun","25","6/25/2013","9.95","16.5","5.3","1.4","70.62"
"2013","Jun","26","6/26/2013","9.05","16.5","2.2","0","59.96"
"2013","Jun","27","6/27/2013","8.89","18.6","0.3","0","49.33"
"2013","Jun","28","6/28/2013","9.27","19.1","0.9","0","41.5"
"2013","Jun","29","6/29/2013","9.36","19.9","0.2","0","48.71"
"2013","Jun","30","6/30/2013","8.72","16.1","1.4","0","63.12"
"2013","Jul","1","7/1/2013","8.72","15.7","1.9","0","72.17"
"2013","Jul","2","7/2/2013","8.87","15.4","3.8","0","72.29"
"2013","Jul","3","7/3/2013","9.05","15.6","5.1","0","72.12"
"2013","Jul","4","7/4/2013","8.15","14.1","3.2","0.6","74.71"
"2013","Jul","5","7/5/2013","9.02","14.8","3.8","0","72.83"
"2013","Jul","6","7/6/2013","8.8","16.8","3","0","69.71"
"2013","Jul","7","7/7/2013","7.96","16.9","0.2","0","65.17"
"2013","Jul","8","7/8/2013","7.86","15.9","0.4","0.2","65.33"
"2013","Jul","9","7/9/2013","9.01","18.5","0.8","0","63.83"
"2013","Jul","10","7/10/2013","9.57","17.8","1.8","0","63.62"
"2013","Jul","11","7/11/2013","9.62","17.7","2.6","0","62.62"
"2013","Jul","12","7/12/2013","8.73","17.8","1.7","0","67.88"
"2013","Jul","13","7/13/2013","8.36","15.8","1.8","0","70.21"
"2013","Jul","14","7/14/2013","8.1","13.9","4","0","73.62"
"2013","Jul","15","7/15/2013","5.97","11.6","2.1","0.8","80.29"
"2013","Jul","16","7/16/2013","6.4","13.7","0.5","0","74.54"
"2013","Jul","17","7/17/2013","8.38","15.6","0.2","0.2","64.62"
"2013","Jul","18","7/18/2013","10.05","15.1","5.5","0","58.12"
"2013","Jul","19","7/19/2013","9.06","16.9","2.8","0","58.04"
"2013","Jul","20","7/20/2013","8.8","15.7","2.8","0","61.83"
"2013","Jul","21","7/21/2013","8.38","17.7","0.6","0","64.79"
"2013","Jul","22","7/22/2013","9.52","18.1","2.3","0","57.12"
"2013","Jul","23","7/23/2013","7.91","14.2","2.5","0","68.21"
"2013","Jul","24","7/24/2013","8.33","15.7","1.4","0","68.71"
"2013","Jul","25","7/25/2013","8.26","15.9","2.3","0","66.5"
"2013","Jul","26","7/26/2013","7.73","16.5","-0.2","0","59.08"
"2013","Jul","27","7/27/2013","8.8","18.2","0.2","0","56.71"
"2013","Jul","28","7/28/2013","9.69","18.6","2.2","0","54.38"
"2013","Jul","29","7/29/2013","8.85","18.7","-0.1","0","57.67"
"2013","Jul","30","7/30/2013","9.12","18.4","0.3","0","57.79"
"2013","Jul","31","7/31/2013","9.46","18.9","1.3","0","56.62"
"2013","Ago","1","8/1/2013","8.87","16.7","0.7","0","59.5"
"2013","Ago","2","8/2/2013","9.26","15.7","1.9","0","67.08"
"2013","Ago","3","8/3/2013","9.6","16.4","4.1","0","68.21"
"2013","Ago","4","8/4/2013","10.5","19.4","2.2","0","61.12"
"2013","Ago","5","8/5/2013","10.64","17.4","4.1","0","63.71"
"2013","Ago","6","8/6/2013","10.11","17.9","3.9","0","65.58"
"2013","Ago","7","8/7/2013","10.47","18.2","2.5","0","59.46"
"2013","Ago","8","8/8/2013","10.92","18.1","3.1","0","55.54"
"2013","Ago","9","8/9/2013","10.28","17","3.9","0.6","55.12"
"2013","Ago","10","8/10/2013","9.66","15.4","4.4","0","60.75"
"2013","Ago","11","8/11/2013","10.54","19.5","3.3","0","56.92"
"2013","Ago","12","8/12/2013","10.68","20.2","2.4","0","53.83"
"2013","Ago","13","8/13/2013","10.53","19.2","2.3","0","54.33"
"2013","Ago","14","8/14/2013","9.8","17.2","1.8","0","59.71"
"2013","Ago","15","8/15/2013","10.73","19.6","3.8","0","63.17"
"2013","Ago","16","8/16/2013","11.9","21.7","5.4","0","59"
"2013","Ago","17","8/17/2013","10.43","18.9","3.1","0","60.92"
"2013","Ago","18","8/18/2013","10.54","19.9","2.6","0","58.75"
"2013","Ago","19","8/19/2013","10.29","21.1","1.8","0","57.71"
"2013","Ago","20","8/20/2013","10.41","20","2.6","0","55.08"
"2013","Ago","21","8/21/2013","11.22","19.4","4.4","0","58.5"
"2013","Ago","22","8/22/2013","10.91","19.6","3.4","0","60.42"
"2013","Ago","23","8/23/2013","8.54","13.5","4.9","1.6","75.79"
"2013","Ago","24","8/24/2013","6.83","8.9","5.1","4.4","85.58"
"2013","Ago","25","8/25/2013","8.99","14.4","5.6","2.4","65.67"
"2013","Ago","26","8/26/2013","9.55","16.8","2.2","0","60.83"
"2013","Ago","27","8/27/2013","9.58","15.2","5.6","3.8","70.21"
"2013","Ago","28","8/28/2013","5.47","8.3","3.8","9.2","86.62"
"2013","Ago","29","8/29/2013","7.59","13.4","3.6","0.2","75.79"
"2013","Ago","30","8/30/2013","9.12","17.4","1.2","0","62.42"
"2013","Ago","31","8/31/2013","9.5","18","2.8","0","62.54"
"2013","Set","1","9/1/2013","11.11","20.3","2.2","0","55.96"
"2013","Set","2","9/2/2013","10.41","19.6","1.7","0","48.83"
"2013","Set","3","9/3/2013","10.42","19.6","2.7","0","52"
"2013","Set","4","9/4/2013","10.71","19","2.4","0","54.67"
"2013","Set","5","9/5/2013","11.41","19.8","4.1","0.4","57.33"
"2013","Set","6","9/6/2013","11.76","21.1","3.8","0.4","57.79"
"2013","Set","7","9/7/2013","11.63","20.3","4","0","55.88"
"2013","Set","8","9/8/2013","10.68","18.5","2.8","0","58.29"
"2013","Set","9","9/9/2013","10.88","18.2","4.2","0","58.75"
"2013","Set","10","9/10/2013","11.57","18.6","6.2","0","60.92"
"2013","Set","11","9/11/2013","9.88","17.7","4.1","0","67.86"
"2013","Set","12","9/12/2013","9.06","17.3","3.4","3.8","73.88"
"2013","Set","13","9/13/2013","10.37","18.1","3.2","0.2","69.33"
"2013","Set","14","9/14/2013","12.11","19.1","5.3","0","55.29"
"2013","Set","15","9/15/2013","12.06","19.2","5.7","0","60.25"
"2013","Set","16","9/16/2013","12.04","20.3","5.3","0","61.54"
"2013","Set","17","9/17/2013","12.74","21","5.2","0","56.04"
"2013","Set","18","9/18/2013","12.87","19.9","7.2","0","56"
"2013","Set","19","9/19/2013","10.71","16.3","7.5","0.6","71.96"
"2013","Set","20","9/20/2013","11.49","17.8","6.3","0","64"
"2013","Set","21","9/21/2013","12.15","20.3","4.5","0","60.58"
"2013","Set","22","9/22/2013","13.04","21.4","4.7","0","58.25"
"2013","Set","23","9/23/2013","12.35","19.2","6.3","1.4","65.25"
"2013","Set","24","9/24/2013","11.58","18.2","4.9","0.2","68.08"
"2013","Set","25","9/25/2013","11.94","19.5","5.7","0","66.08"
"2013","Set","26","9/26/2013","12.65","20.7","6.1","0","56.21"
"2013","Set","27","9/27/2013","12.6","21.9","4.4","0","58.08"
"2013","Set","28","9/28/2013","11.45","19.8","5.6","0","65.46"
"2013","Set","29","9/29/2013","11.93","19.8","6.2","0.2","63.08"
"2013","Set","30","9/30/2013","11.42","18.9","5.2","0.4","63.62"
"2013","Oct","1","10/1/2013","10.6","15.8","5.7","0","69.42"
"2013","Oct","2","10/2/2013","12.32","19.4","7","0","59.58"
"2013","Oct","3","10/3/2013","12.38","19.8","4.6","0","55.88"
"2013","Oct","4","10/4/2013","12.5","19.4","4.8","0","60.42"
"2013","Oct","5","10/5/2013","10.78","16.3","6.3","0.8","73"
"2013","Oct","6","10/6/2013","11.75","18.3","7.4","1","69.88"
"2013","Oct","7","10/7/2013","12.22","19.6","6","1","64.42"
"2013","Oct","8","10/8/2013","10.7","17.8","5.7","8.2","70.5"
"2013","Oct","9","10/9/2013","10.67","18.1","4.3","0.2","71.17"
"2013","Oct","10","10/10/2013","11.04","16.4","6.2","4.6","68.46"
"2013","Oct","11","10/11/2013","12.4","20.1","5.6","0","58.54"
"2013","Oct","12","10/12/2013","11.76","17.3","7.4","0.6","67.33"
"2013","Oct","13","10/13/2013","9.74","12.7","8","4.2","80.38"
"2013","Oct","14","10/14/2013","7.88","12","4.3","7.2","79.08"
"2013","Oct","15","10/15/2013","10.42","16.4","6.4","5.4","78.92"
"2013","Oct","16","10/16/2013","12.52","18.6","8.3","1.4","71.12"
"2013","Oct","17","10/17/2013","12.97","20.9","5.4","1.8","58.46"
"2013","Oct","18","10/18/2013","13.47","22.1","5.6","0","59.42"
"2013","Oct","19","10/19/2013","12.86","20.7","8.1","1.2","64.58"
"2013","Oct","20","10/20/2013","12.41","21.9","5.5","4.4","60.96"
"2013","Oct","21","10/21/2013","12.56","21.9","5.8","0","63.58"
"2013","Oct","22","10/22/2013","11.62","17.9","5.4","0","68.92"
"2013","Oct","23","10/23/2013","12.45","19.9","7.4","0","63.79"
"2013","Oct","24","10/24/2013","9.62","12.2","7.8","5.2","81.58"
"2013","Oct","25","10/25/2013","11.22","16.1","6.7","1","76.5"
"2013","Oct","26","10/26/2013","10.67","17.1","6.8","21.2","81.55"
"2013","Oct","27","10/27/2013","10.83","15.1","7.8","1.8","80.12"
"2013","Oct","28","10/28/2013","13.4","16.3","5.3","28.8","80.5"
"2013","Oct","29","10/29/2013","12.22","20.1","5.2","0.2","69.42"
"2013","Oct","30","10/30/2013","13.82","19.7","8.9","0.4","65.12"
"2013","Oct","31","10/31/2013","12.01","18.6","7.2","9","72.96"
"2013","Nov","1","11/1/2013","12.75","20.8","6.2","0","60.83"
"2013","Nov","2","11/2/2013","9.95","15.3","7","18.8","82.12"
"2013","Nov","3","11/3/2013","10.27","14.4","5.9","0.8","83.58"
"2013","Nov","4","11/4/2013","11.05","15.4","7.3","19","79.88"
"2013","Nov","5","11/5/2013","9.57","14.9","6.8","6","86.75"
"2013","Nov","6","11/6/2013","11.36","17.1","7.3","2.8","78.5"
"2013","Nov","7","11/7/2013","13.09","21","8.2","0","66.07"
"2013","Nov","8","11/8/2013","12.918","20.044","7.333","0.978","65.448"
"2013","Nov","9","11/9/2013","12.364","19.033","7.111","1.644","66.558"
"2013","Nov","10","11/10/2013","12.719","20.333","6.778","6.778","64.866"
"2013","Nov","11","11/11/2013","12.618","19.544","6.889","1.267","63.959"
"2013","Nov","12","11/12/2013","12.689","19.689","7.2","2.289","62.437"
"2013","Nov","13","11/13/2013","13.426","20.5","7.111","0.489","60.587"
"2013","Nov","14","11/14/2013","13.487","20.311","8.111","1.267","61.347"
"2013","Nov","15","11/15/2013","12.85","19.333","7.244","0.444","62.049"
"2013","Nov","16","11/16/2013","13.246","20.178","7.267","0.178","62.227"
"2013","Nov","17","11/17/2013","10.13","12.3","8.2","0","73.17"
"2013","Nov","18","11/18/2013","12.7","20.2","5.8","0","66.5"
"2013","Nov","19","11/19/2013","13.85","20.7","7.3","0","57.12"
"2013","Nov","20","11/20/2013","12.68","19.1","7.2","0","67.83"
"2013","Nov","21","11/21/2013","10.62","14.2","7.7","18.8","83.38"
"2013","Nov","22","11/22/2013","10.36","17.1","7.2","21","82.62"
"2013","Nov","23","11/23/2013","12.17","18.4","6.5","0","69.21"
"2013","Nov","24","11/24/2013","13.48","20.9","7.4","0","63.92"
"2013","Nov","25","11/25/2013","13.32","20.2","8.1","5.8","63.79"
"2013","Nov","26","11/26/2013","13.55","20.5","6.7","0.4","62.71"
"2013","Nov","27","11/27/2013","12.85","20.2","7.5","2.2","66.04"
"2013","Nov","28","11/28/2013","13.2","20.7","5.4","5.6","62.58"
"2013","Nov","29","11/29/2013","13.22","21.1","7.2","0.4","65.42"
"2013","Nov","30","11/30/2013","11.78","16.2","6.2","1.4","67.17"
"2013","Dic","1","12/1/2013","12.24","19","7.1","0","69.71"
"2013","Dic","2","12/2/2013","11.8","16.9","8.4","1.8","74.54"
"2013","Dic","3","12/3/2013","9.97","14.4","5.7","24.2","79.25"
"2013","Dic","4","12/4/2013","9.91","14.6","5.7","0.6","83.12"
"2013","Dic","5","12/5/2013","12.67","17.4","8.2","0","74.92"
"2013","Dic","6","12/6/2013","12.83","18.9","8.4","0.2","69.38"
"2013","Dic","7","12/7/2013","12.26","16.6","8.2","4.2","74.29"
"2013","Dic","8","12/8/2013","11.68","16.1","7.9","4.4","76.92"
"2013","Dic","9","12/9/2013","10.28","13.8","7.4","11.6","84.92"
"2013","Dic","10","12/10/2013","11.6","15.7","8.3","0.2","79.88"
"2013","Dic","11","12/11/2013","10.05","14.3","6.9","19","89.04"
"2013","Dic","12","12/12/2013","11.36","17.4","7.2","8.2","83.83"
"2013","Dic","13","12/13/2013","10.93","16.2","5.9","0.8","79.96"
"2013","Dic","14","12/14/2013","11.18","14.7","8.7","0.8","82.17"
"2013","Dic","15","12/15/2013","12.03","16.9","8.2","2.4","75.21"
"2013","Dic","16","12/16/2013","13.12","19.4","7.4","0","67"
"2013","Dic","17","12/17/2013","13.26","20.9","6.9","0","61.67"
"2013","Dic","18","12/18/2013","13.95","21.2","6.7","0","61.29"
"2013","Dic","19","12/19/2013","12.76","16.9","9.1","4.4","73.12"
"2013","Dic","20","12/20/2013","11.41","18.4","6.9","9.4","79.25"
"2013","Dic","21","12/21/2013","10.59","16.3","6.9","8.8","79.42"
"2013","Dic","22","12/22/2013","11.85","18.5","6.4","2.2","72.62"
"2013","Dic","23","12/23/2013","12.22","18.6","8","13.2","75.83"
"2013","Dic","24","12/24/2013","10.18","16","7.9","7.6","86.88"
"2013","Dic","25","12/25/2013","9.9","14.6","7.2","11.8","86.75"
"2013","Dic","26","12/26/2013","11.9","16.8","8.8","1.8","78.83"
"2013","Dic","27","12/27/2013","11.97","15.7","9.1","2.8","79.58"
"2013","Dic","28","12/28/2013","10.39","15.2","6.5","11.8","83.08"
"2013","Dic","29","12/29/2013","12.36","17.9","6.7","0.6","78.04"
"2013","Dic","30","12/30/2013","12.76","16.9","8.5","0.2","73"
"2013","Dic","31","12/31/2013","11.76","19.1","6.7","4.6","74.38"
"2014","Ene","1","1/1/2014","9.87","13.9","6.8","0","79.75"
"2014","Ene","2","1/2/2014","12.71","20","6","0","71.62"
"2014","Ene","3","1/3/2014","11.58","15.6","8.6","12","85.62"
"2014","Ene","4","1/4/2014","10.81","16.3","8.4","7.6","85.71"
"2014","Ene","5","1/5/2014","10.88","15.8","6.5","10.4","83.67"
"2014","Ene","6","1/6/2014","12.2","17.2","9.3","4.8","81.33"
"2014","Ene","7","1/7/2014","11.18","15.3","8.6","6","84.5"
"2014","Ene","8","1/8/2014","11.53","15.8","7.1","14","83.88"
"2014","Ene","9","1/9/2014","12.12","17.4","8.8","3.6","79.92"
"2014","Ene","10","1/10/2014","11.16","16.1","7.9","2.2","82.29"
"2014","Ene","11","1/11/2014","13.08","19.9","7.7","2.6","74.54"
"2014","Ene","12","1/12/2014","10.86","18.2","7.2","7.4","78.46"
"2014","Ene","13","1/13/2014","11.6","17","7.3","0.4","75.79"
"2014","Ene","14","1/14/2014","12.34","18.7","8","0","76"
"2014","Ene","15","1/15/2014","11.82","17.6","7.8","0","75.33"
